"","x"
"324","Hpcal1"
"325","Ttll5"
"326","Grhl1"
"327","Rapgef5"
"328","Gpr68"
"329","Syt16"
"330","Hspa2"
"331","Atp6v1d"
"332","Tmem229b"
"333","Exd2"
"334","Cyp46a1"
"335","Susd6"
"336","Inf2"
"337","Shisa8"
"338","Mtss1"
"339","Tafa5"
"340","Khdrbs3"
"341","Slc45a4"
"342","Cmbl"
"343","Slc38a1"
"344","Rnd1"
"345","Asic1"
"346","Foxred2"
"347","Pvalb"
"348","Cdc42ep1"
"349","Syngr1"
"350","Polr3h"
"351","Maf1"
"352","Tiam1"
"353","Plcxd2"
"354","Ccdc74a"
"355","Nxpe3"
"356","Dgcr2"
"357","Camk2n2"
"358","Map3k13"
"359","Kalrn"
"360","Daam2"
"361","Plcl2"
"362","Tbc1d5"
"363","Nherf2"
"364","Abhd16a"
"365","Mtcl1"
"366","Zdhhc14"
"367","Snx9"
"368","Ddx39b"
"369","Epb41l3"
"370","Antkmt"
"371","Pla2g7"
"372","Grm4"
"373","Tbc1d22b"
"374","Pde9a"
"375","Garem1"
"376","Synpo"
"377","Ablim3"
"378","Apc"
"379","Stk32a"
"380","St8sia5"
"381","Sall3"
"382","Pip5k1b"
"383","Afap1l2"
"384","Prkg1"
"385","Ehd1"
"386","Ppp1r3c"
"387","Pdlim1"
"388","Chrm1"
"389","Pi4k2a"
"390","Tut1"
"391","Incenp"
"392","Rab3il1"
"393","Cnnm1"
"394","Sema4g"
"395","Tle4"
"396","Ina"
"397","Aldh1a1"
"398","Cemip2"
